Tree	Node A-form	Node B-form	Node C-form	Absolute frequency	Relative frequency	Order	Grew-match query	Grew-match URL	Number of nodes	Head node
Ljubitelji <nsubj turnir <obj pričakujejo	Ljubitelji	turnir	pričakujejo	1	3.7	ABC	"pattern {C [form=""pričakujejo""]; A [form=""Ljubitelji""]; B [form=""turnir""]; C -[nsubj]-> A; C -[obj]-> B; C >> A; C >> B}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BC%20%5Bform%3D%22pri%C4%8Dakujejo%22%5D%3B%20A%20%5Bform%3D%22Ljubitelji%22%5D%3B%20B%20%5Bform%3D%22turnir%22%5D%3B%20C%20-%5Bnsubj%5D-%3E%20A%3B%20C%20-%5Bobj%5D-%3E%20B%3B%20C%20%3E%3E%20A%3B%20C%20%3E%3E%20B%7D	3	pričakujejo
Ljubljana <nsubj nima >obj sob	Ljubljana	nima	sob	1	3.7	ABC	"pattern {B [form=""nima""]; A [form=""Ljubljana""]; C [form=""sob""]; B -[nsubj]-> A; B -[obj]-> C; B >> A; B << C}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22nima%22%5D%3B%20A%20%5Bform%3D%22Ljubljana%22%5D%3B%20C%20%5Bform%3D%22sob%22%5D%3B%20B%20-%5Bnsubj%5D-%3E%20A%3B%20B%20-%5Bobj%5D-%3E%20C%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20C%7D	3	nima
Ljudi <obj družil >nsubj komunizem	Ljudi	družil	komunizem	1	3.7	ABC	"pattern {B [form=""družil""]; A [form=""Ljudi""]; C [form=""komunizem""]; B -[obj]-> A; B -[nsubj]-> C; B >> A; B << C}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22dru%C5%BEil%22%5D%3B%20A%20%5Bform%3D%22Ljudi%22%5D%3B%20C%20%5Bform%3D%22komunizem%22%5D%3B%20B%20-%5Bobj%5D-%3E%20A%3B%20B%20-%5Bnsubj%5D-%3E%20C%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20C%7D	3	družil
Ljudje <nsubj imajo >obj pravico	Ljudje	imajo	pravico	1	3.7	ABC	"pattern {B [form=""imajo""]; A [form=""Ljudje""]; C [form=""pravico""]; B -[nsubj]-> A; B -[obj]-> C; B >> A; B << C}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22imajo%22%5D%3B%20A%20%5Bform%3D%22Ljudje%22%5D%3B%20C%20%5Bform%3D%22pravico%22%5D%3B%20B%20-%5Bnsubj%5D-%3E%20A%3B%20B%20-%5Bobj%5D-%3E%20C%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20C%7D	3	imajo
Ljudje <nsubj nimajo >obj pravice	Ljudje	nimajo	pravice	1	3.7	ABC	"pattern {B [form=""nimajo""]; A [form=""Ljudje""]; C [form=""pravice""]; B -[nsubj]-> A; B -[obj]-> C; B >> A; B << C}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22nimajo%22%5D%3B%20A%20%5Bform%3D%22Ljudje%22%5D%3B%20C%20%5Bform%3D%22pravice%22%5D%3B%20B%20-%5Bnsubj%5D-%3E%20A%3B%20B%20-%5Bobj%5D-%3E%20C%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20C%7D	3	nimajo
Ljudje <nsubj nosimo >obj množico	Ljudje	nosimo	množico	1	3.7	ABC	"pattern {B [form=""nosimo""]; A [form=""Ljudje""]; C [form=""množico""]; B -[nsubj]-> A; B -[obj]-> C; B >> A; B << C}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22nosimo%22%5D%3B%20A%20%5Bform%3D%22Ljudje%22%5D%3B%20C%20%5Bform%3D%22mno%C5%BEico%22%5D%3B%20B%20-%5Bnsubj%5D-%3E%20A%3B%20B%20-%5Bobj%5D-%3E%20C%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20C%7D	3	nosimo
Ljudje <nsubj pikice <obj imenujejo	Ljudje	pikice	imenujejo	1	3.7	ABC	"pattern {C [form=""imenujejo""]; A [form=""Ljudje""]; B [form=""pikice""]; C -[nsubj]-> A; C -[obj]-> B; C >> A; C >> B}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BC%20%5Bform%3D%22imenujejo%22%5D%3B%20A%20%5Bform%3D%22Ljudje%22%5D%3B%20B%20%5Bform%3D%22pikice%22%5D%3B%20C%20-%5Bnsubj%5D-%3E%20A%3B%20C%20-%5Bobj%5D-%3E%20B%3B%20C%20%3E%3E%20A%3B%20C%20%3E%3E%20B%7D	3	imenujejo
Ljudje <nsubj pomočnike <obj uporabljamo	Ljudje	pomočnike	uporabljamo	1	3.7	ABC	"pattern {C [form=""uporabljamo""]; A [form=""Ljudje""]; B [form=""pomočnike""]; C -[nsubj]-> A; C -[obj]-> B; C >> A; C >> B}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BC%20%5Bform%3D%22uporabljamo%22%5D%3B%20A%20%5Bform%3D%22Ljudje%22%5D%3B%20B%20%5Bform%3D%22pomo%C4%8Dnike%22%5D%3B%20C%20-%5Bnsubj%5D-%3E%20A%3B%20C%20-%5Bobj%5D-%3E%20B%3B%20C%20%3E%3E%20A%3B%20C%20%3E%3E%20B%7D	3	uporabljamo
Ljudje <nsubj časopise <obj pripisujejo	Ljudje	časopise	pripisujejo	1	3.7	ABC	"pattern {C [form=""pripisujejo""]; A [form=""Ljudje""]; B [form=""časopise""]; C -[nsubj]-> A; C -[obj]-> B; C >> A; C >> B}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BC%20%5Bform%3D%22pripisujejo%22%5D%3B%20A%20%5Bform%3D%22Ljudje%22%5D%3B%20B%20%5Bform%3D%22%C4%8Dasopise%22%5D%3B%20C%20-%5Bnsubj%5D-%3E%20A%3B%20C%20-%5Bobj%5D-%3E%20B%3B%20C%20%3E%3E%20A%3B%20C%20%3E%3E%20B%7D	3	pripisujejo
Ljudstvo <nsubj slišalo >obj vzklik	Ljudstvo	slišalo	vzklik	1	3.7	ABC	"pattern {B [form=""slišalo""]; A [form=""Ljudstvo""]; C [form=""vzklik""]; B -[nsubj]-> A; B -[obj]-> C; B >> A; B << C}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22sli%C5%A1alo%22%5D%3B%20A%20%5Bform%3D%22Ljudstvo%22%5D%3B%20C%20%5Bform%3D%22vzklik%22%5D%3B%20B%20-%5Bnsubj%5D-%3E%20A%3B%20B%20-%5Bobj%5D-%3E%20C%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20C%7D	3	slišalo
Logika <nsubj zahteva >obj prakse	Logika	zahteva	prakse	1	3.7	ABC	"pattern {B [form=""zahteva""]; A [form=""Logika""]; C [form=""prakse""]; B -[nsubj]-> A; B -[obj]-> C; B >> A; B << C}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22zahteva%22%5D%3B%20A%20%5Bform%3D%22Logika%22%5D%3B%20C%20%5Bform%3D%22prakse%22%5D%3B%20B%20-%5Bnsubj%5D-%3E%20A%3B%20B%20-%5Bobj%5D-%3E%20C%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20C%7D	3	zahteva
Lou <nsubj prižgal >obj kazalec	Lou	prižgal	kazalec	1	3.7	ABC	"pattern {B [form=""prižgal""]; A [form=""Lou""]; C [form=""kazalec""]; B -[nsubj]-> A; B -[obj]-> C; B >> A; B << C}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22pri%C5%BEgal%22%5D%3B%20A%20%5Bform%3D%22Lou%22%5D%3B%20C%20%5Bform%3D%22kazalec%22%5D%3B%20B%20-%5Bnsubj%5D-%3E%20A%3B%20B%20-%5Bobj%5D-%3E%20C%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20C%7D	3	prižgal
Lov <nsubj presenetil >obj turiste	Lov	presenetil	turiste	1	3.7	ABC	"pattern {B [form=""presenetil""]; A [form=""Lov""]; C [form=""turiste""]; B -[nsubj]-> A; B -[obj]-> C; B >> A; B << C}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22presenetil%22%5D%3B%20A%20%5Bform%3D%22Lov%22%5D%3B%20C%20%5Bform%3D%22turiste%22%5D%3B%20B%20-%5Bnsubj%5D-%3E%20A%3B%20B%20-%5Bobj%5D-%3E%20C%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20C%7D	3	presenetil
Luciel <nsubj dajal >obj opravka	Luciel	dajal	opravka	1	3.7	ABC	"pattern {B [form=""dajal""]; A [form=""Luciel""]; C [form=""opravka""]; B -[nsubj]-> A; B -[obj]-> C; B >> A; B << C}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22dajal%22%5D%3B%20A%20%5Bform%3D%22Luciel%22%5D%3B%20C%20%5Bform%3D%22opravka%22%5D%3B%20B%20-%5Bnsubj%5D-%3E%20A%3B%20B%20-%5Bobj%5D-%3E%20C%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20C%7D	3	dajal
Ludvik <nsubj sklene >obj zavezništvo	Ludvik	sklene	zavezništvo	1	3.7	ABC	"pattern {B [form=""sklene""]; A [form=""Ludvik""]; C [form=""zavezništvo""]; B -[nsubj]-> A; B -[obj]-> C; B >> A; B << C}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22sklene%22%5D%3B%20A%20%5Bform%3D%22Ludvik%22%5D%3B%20C%20%5Bform%3D%22zavezni%C5%A1tvo%22%5D%3B%20B%20-%5Bnsubj%5D-%3E%20A%3B%20B%20-%5Bobj%5D-%3E%20C%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20C%7D	3	sklene
Luk <nsubj dobi >obj svetlobe	Luk	dobi	svetlobe	1	3.7	ABC	"pattern {B [form=""dobi""]; A [form=""Luk""]; C [form=""svetlobe""]; B -[nsubj]-> A; B -[obj]-> C; B >> A; B << C}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22dobi%22%5D%3B%20A%20%5Bform%3D%22Luk%22%5D%3B%20C%20%5Bform%3D%22svetlobe%22%5D%3B%20B%20-%5Bnsubj%5D-%3E%20A%3B%20B%20-%5Bobj%5D-%3E%20C%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20C%7D	3	dobi
Lynnova <nsubj pripravila >obj predstavo	Lynnova	pripravila	predstavo	1	3.7	ABC	"pattern {B [form=""pripravila""]; A [form=""Lynnova""]; C [form=""predstavo""]; B -[nsubj]-> A; B -[obj]-> C; B >> A; B << C}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22pripravila%22%5D%3B%20A%20%5Bform%3D%22Lynnova%22%5D%3B%20C%20%5Bform%3D%22predstavo%22%5D%3B%20B%20-%5Bnsubj%5D-%3E%20A%3B%20B%20-%5Bobj%5D-%3E%20C%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20C%7D	3	pripravila
MI <obj ZDITA >nsubj DVE	MI	ZDITA	DVE	1	3.7	ABC	"pattern {B [form=""ZDITA""]; A [form=""MI""]; C [form=""DVE""]; B -[obj]-> A; B -[nsubj]-> C; B >> A; B << C}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22ZDITA%22%5D%3B%20A%20%5Bform%3D%22MI%22%5D%3B%20C%20%5Bform%3D%22DVE%22%5D%3B%20B%20-%5Bobj%5D-%3E%20A%3B%20B%20-%5Bnsubj%5D-%3E%20C%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20C%7D	3	ZDITA
MILIJONOV <nsubj NIMA >obj HRANE	MILIJONOV	NIMA	HRANE	1	3.7	ABC	"pattern {B [form=""NIMA""]; A [form=""MILIJONOV""]; C [form=""HRANE""]; B -[nsubj]-> A; B -[obj]-> C; B >> A; B << C}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22NIMA%22%5D%3B%20A%20%5Bform%3D%22MILIJONOV%22%5D%3B%20C%20%5Bform%3D%22HRANE%22%5D%3B%20B%20-%5Bnsubj%5D-%3E%20A%3B%20B%20-%5Bobj%5D-%3E%20C%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20C%7D	3	NIMA
MINISTRSTVO <nsubj ODPOVE >obj POGODBO	MINISTRSTVO	ODPOVE	POGODBO	1	3.7	ABC	"pattern {B [form=""ODPOVE""]; A [form=""MINISTRSTVO""]; C [form=""POGODBO""]; B -[nsubj]-> A; B -[obj]-> C; B >> A; B << C}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22ODPOVE%22%5D%3B%20A%20%5Bform%3D%22MINISTRSTVO%22%5D%3B%20C%20%5Bform%3D%22POGODBO%22%5D%3B%20B%20-%5Bnsubj%5D-%3E%20A%3B%20B%20-%5Bobj%5D-%3E%20C%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20C%7D	3	ODPOVE
MTV <nsubj spreminjal >obj industrijo	MTV	spreminjal	industrijo	1	3.7	ABC	"pattern {B [form=""spreminjal""]; A [form=""MTV""]; C [form=""industrijo""]; B -[nsubj]-> A; B -[obj]-> C; B >> A; B << C}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22spreminjal%22%5D%3B%20A%20%5Bform%3D%22MTV%22%5D%3B%20C%20%5Bform%3D%22industrijo%22%5D%3B%20B%20-%5Bnsubj%5D-%3E%20A%3B%20B%20-%5Bobj%5D-%3E%20C%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20C%7D	3	spreminjal
Madžarska <nsubj praznovala >obj tisočletnico	Madžarska	praznovala	tisočletnico	1	3.7	ABC	"pattern {B [form=""praznovala""]; A [form=""Madžarska""]; C [form=""tisočletnico""]; B -[nsubj]-> A; B -[obj]-> C; B >> A; B << C}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22praznovala%22%5D%3B%20A%20%5Bform%3D%22Mad%C5%BEarska%22%5D%3B%20C%20%5Bform%3D%22tiso%C4%8Dletnico%22%5D%3B%20B%20-%5Bnsubj%5D-%3E%20A%3B%20B%20-%5Bobj%5D-%3E%20C%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20C%7D	3	praznovala
Malerba <nsubj opravljal >obj delo	Malerba	opravljal	delo	1	3.7	ABC	"pattern {B [form=""opravljal""]; A [form=""Malerba""]; C [form=""delo""]; B -[nsubj]-> A; B -[obj]-> C; B >> A; B << C}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22opravljal%22%5D%3B%20A%20%5Bform%3D%22Malerba%22%5D%3B%20C%20%5Bform%3D%22delo%22%5D%3B%20B%20-%5Bnsubj%5D-%3E%20A%3B%20B%20-%5Bobj%5D-%3E%20C%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20C%7D	3	opravljal
Mamici <nsubj potrebovali >obj prevoz	Mamici	potrebovali	prevoz	1	3.7	ABC	"pattern {B [form=""potrebovali""]; A [form=""Mamici""]; C [form=""prevoz""]; B -[nsubj]-> A; B -[obj]-> C; B >> A; B << C}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22potrebovali%22%5D%3B%20A%20%5Bform%3D%22Mamici%22%5D%3B%20C%20%5Bform%3D%22prevoz%22%5D%3B%20B%20-%5Bnsubj%5D-%3E%20A%3B%20B%20-%5Bobj%5D-%3E%20C%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20C%7D	3	potrebovali
Marca <obj pristop <nsubj presenetil	Marca	pristop	presenetil	1	3.7	ABC	"pattern {C [form=""presenetil""]; A [form=""Marca""]; B [form=""pristop""]; C -[obj]-> A; C -[nsubj]-> B; C >> A; C >> B}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BC%20%5Bform%3D%22presenetil%22%5D%3B%20A%20%5Bform%3D%22Marca%22%5D%3B%20B%20%5Bform%3D%22pristop%22%5D%3B%20C%20-%5Bobj%5D-%3E%20A%3B%20C%20-%5Bnsubj%5D-%3E%20B%3B%20C%20%3E%3E%20A%3B%20C%20%3E%3E%20B%7D	3	presenetil
Marco <nsubj razbral >obj molitev	Marco	razbral	molitev	1	3.7	ABC	"pattern {B [form=""razbral""]; A [form=""Marco""]; C [form=""molitev""]; B -[nsubj]-> A; B -[obj]-> C; B >> A; B << C}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22razbral%22%5D%3B%20A%20%5Bform%3D%22Marco%22%5D%3B%20C%20%5Bform%3D%22molitev%22%5D%3B%20B%20-%5Bnsubj%5D-%3E%20A%3B%20B%20-%5Bobj%5D-%3E%20C%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20C%7D	3	razbral
Marion <nsubj sina <obj dala	Marion	sina	dala	1	3.7	ABC	"pattern {C [form=""dala""]; A [form=""Marion""]; B [form=""sina""]; C -[nsubj]-> A; C -[obj]-> B; C >> A; C >> B}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BC%20%5Bform%3D%22dala%22%5D%3B%20A%20%5Bform%3D%22Marion%22%5D%3B%20B%20%5Bform%3D%22sina%22%5D%3B%20C%20-%5Bnsubj%5D-%3E%20A%3B%20C%20-%5Bobj%5D-%3E%20B%3B%20C%20%3E%3E%20A%3B%20C%20%3E%3E%20B%7D	3	dala
Marko <nsubj dobil >obj pretres	Marko	dobil	pretres	1	3.7	ABC	"pattern {B [form=""dobil""]; A [form=""Marko""]; C [form=""pretres""]; B -[nsubj]-> A; B -[obj]-> C; B >> A; B << C}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22dobil%22%5D%3B%20A%20%5Bform%3D%22Marko%22%5D%3B%20C%20%5Bform%3D%22pretres%22%5D%3B%20B%20-%5Bnsubj%5D-%3E%20A%3B%20B%20-%5Bobj%5D-%3E%20C%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20C%7D	3	dobil
Marsh <nsubj odkril >obj fosile	Marsh	odkril	fosile	1	3.7	ABC	"pattern {B [form=""odkril""]; A [form=""Marsh""]; C [form=""fosile""]; B -[nsubj]-> A; B -[obj]-> C; B >> A; B << C}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22odkril%22%5D%3B%20A%20%5Bform%3D%22Marsh%22%5D%3B%20C%20%5Bform%3D%22fosile%22%5D%3B%20B%20-%5Bnsubj%5D-%3E%20A%3B%20B%20-%5Bobj%5D-%3E%20C%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20C%7D	3	odkril
Marsikateri <nsubj zasluži >obj imena	Marsikateri	zasluži	imena	1	3.7	ABC	"pattern {B [form=""zasluži""]; A [form=""Marsikateri""]; C [form=""imena""]; B -[nsubj]-> A; B -[obj]-> C; B >> A; B << C}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22zaslu%C5%BEi%22%5D%3B%20A%20%5Bform%3D%22Marsikateri%22%5D%3B%20C%20%5Bform%3D%22imena%22%5D%3B%20B%20-%5Bnsubj%5D-%3E%20A%3B%20B%20-%5Bobj%5D-%3E%20C%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20C%7D	3	zasluži
Marsikdo <nsubj ima >obj vilo	Marsikdo	ima	vilo	1	3.7	ABC	"pattern {B [form=""ima""]; A [form=""Marsikdo""]; C [form=""vilo""]; B -[nsubj]-> A; B -[obj]-> C; B >> A; B << C}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22ima%22%5D%3B%20A%20%5Bform%3D%22Marsikdo%22%5D%3B%20C%20%5Bform%3D%22vilo%22%5D%3B%20B%20-%5Bnsubj%5D-%3E%20A%3B%20B%20-%5Bobj%5D-%3E%20C%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20C%7D	3	ima
Marta <nsubj zagrešila >obj nekaj	Marta	zagrešila	nekaj	1	3.7	ABC	"pattern {B [form=""zagrešila""]; A [form=""Marta""]; C [form=""nekaj""]; B -[nsubj]-> A; B -[obj]-> C; B >> A; B << C}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22zagre%C5%A1ila%22%5D%3B%20A%20%5Bform%3D%22Marta%22%5D%3B%20C%20%5Bform%3D%22nekaj%22%5D%3B%20B%20-%5Bnsubj%5D-%3E%20A%3B%20B%20-%5Bobj%5D-%3E%20C%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20C%7D	3	zagrešila
Marta <nsubj zapela >obj pesmice	Marta	zapela	pesmice	1	3.7	ABC	"pattern {B [form=""zapela""]; A [form=""Marta""]; C [form=""pesmice""]; B -[nsubj]-> A; B -[obj]-> C; B >> A; B << C}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22zapela%22%5D%3B%20A%20%5Bform%3D%22Marta%22%5D%3B%20C%20%5Bform%3D%22pesmice%22%5D%3B%20B%20-%5Bnsubj%5D-%3E%20A%3B%20B%20-%5Bobj%5D-%3E%20C%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20C%7D	3	zapela
Martina <nsubj ustvarila >obj Gigi	Martina	ustvarila	Gigi	1	3.7	ABC	"pattern {B [form=""ustvarila""]; A [form=""Martina""]; C [form=""Gigi""]; B -[nsubj]-> A; B -[obj]-> C; B >> A; B << C}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22ustvarila%22%5D%3B%20A%20%5Bform%3D%22Martina%22%5D%3B%20C%20%5Bform%3D%22Gigi%22%5D%3B%20B%20-%5Bnsubj%5D-%3E%20A%3B%20B%20-%5Bobj%5D-%3E%20C%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20C%7D	3	ustvarila
Martinovanje <nsubj privabilo >obj ljudi	Martinovanje	privabilo	ljudi	1	3.7	ABC	"pattern {B [form=""privabilo""]; A [form=""Martinovanje""]; C [form=""ljudi""]; B -[nsubj]-> A; B -[obj]-> C; B >> A; B << C}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22privabilo%22%5D%3B%20A%20%5Bform%3D%22Martinovanje%22%5D%3B%20C%20%5Bform%3D%22ljudi%22%5D%3B%20B%20-%5Bnsubj%5D-%3E%20A%3B%20B%20-%5Bobj%5D-%3E%20C%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20C%7D	3	privabilo
Mary <obj spremlja >nsubj teorija	Mary	spremlja	teorija	1	3.7	ABC	"pattern {B [form=""spremlja""]; A [form=""Mary""]; C [form=""teorija""]; B -[obj]-> A; B -[nsubj]-> C; B >> A; B << C}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22spremlja%22%5D%3B%20A%20%5Bform%3D%22Mary%22%5D%3B%20C%20%5Bform%3D%22teorija%22%5D%3B%20B%20-%5Bobj%5D-%3E%20A%3B%20B%20-%5Bnsubj%5D-%3E%20C%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20C%7D	3	spremlja
Masuda <nsubj nosil >obj kolekcijo	Masuda	nosil	kolekcijo	1	3.7	ABC	"pattern {B [form=""nosil""]; A [form=""Masuda""]; C [form=""kolekcijo""]; B -[nsubj]-> A; B -[obj]-> C; B >> A; B << C}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22nosil%22%5D%3B%20A%20%5Bform%3D%22Masuda%22%5D%3B%20C%20%5Bform%3D%22kolekcijo%22%5D%3B%20B%20-%5Bnsubj%5D-%3E%20A%3B%20B%20-%5Bobj%5D-%3E%20C%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20C%7D	3	nosil
Mat <nsubj pogledala >obj Billyja	Mat	pogledala	Billyja	1	3.7	ABC	"pattern {B [form=""pogledala""]; A [form=""Mat""]; C [form=""Billyja""]; B -[nsubj]-> A; B -[obj]-> C; B >> A; B << C}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22pogledala%22%5D%3B%20A%20%5Bform%3D%22Mat%22%5D%3B%20C%20%5Bform%3D%22Billyja%22%5D%3B%20B%20-%5Bnsubj%5D-%3E%20A%3B%20B%20-%5Bobj%5D-%3E%20C%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20C%7D	3	pogledala
Mate <nsubj odstavil >obj koga	Mate	odstavil	koga	1	3.7	ABC	"pattern {B [form=""odstavil""]; A [form=""Mate""]; C [form=""koga""]; B -[nsubj]-> A; B -[obj]-> C; B >> A; B << C}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22odstavil%22%5D%3B%20A%20%5Bform%3D%22Mate%22%5D%3B%20C%20%5Bform%3D%22koga%22%5D%3B%20B%20-%5Bnsubj%5D-%3E%20A%3B%20B%20-%5Bobj%5D-%3E%20C%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20C%7D	3	odstavil
Mati <nsubj izbrizga >obj mleko	Mati	izbrizga	mleko	1	3.7	ABC	"pattern {B [form=""izbrizga""]; A [form=""Mati""]; C [form=""mleko""]; B -[nsubj]-> A; B -[obj]-> C; B >> A; B << C}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22izbrizga%22%5D%3B%20A%20%5Bform%3D%22Mati%22%5D%3B%20C%20%5Bform%3D%22mleko%22%5D%3B%20B%20-%5Bnsubj%5D-%3E%20A%3B%20B%20-%5Bobj%5D-%3E%20C%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20C%7D	3	izbrizga
Matija <nsubj pomiva >obj posodo	Matija	pomiva	posodo	1	3.7	ABC	"pattern {B [form=""pomiva""]; A [form=""Matija""]; C [form=""posodo""]; B -[nsubj]-> A; B -[obj]-> C; B >> A; B << C}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22pomiva%22%5D%3B%20A%20%5Bform%3D%22Matija%22%5D%3B%20C%20%5Bform%3D%22posodo%22%5D%3B%20B%20-%5Bnsubj%5D-%3E%20A%3B%20B%20-%5Bobj%5D-%3E%20C%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20C%7D	3	pomiva
